,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
84,Boyce Avenue,I Want It That Way,16COzZ7jCVn3O8b8ZgviOx,39,2012,acoustic,0.361,0.273,2,-9.805,1,0.0314,0.798,0.0,0.0962,0.306,199.366,215161,4
85,Ron Pope,In My Bones,6UkuYlZarpxN8rSG10ewSk,33,2012,acoustic,0.492,0.639,10,-6.067,1,0.0382,0.591,5.53e-06,0.0794,0.304,151.915,208267,4
86,Joshua Radin,Tomorrow Is Gonna Be Better,24UET6X7UiKFuv0DCutYis,24,2012,acoustic,0.498,0.217,6,-12.042,1,0.0305,0.536,0.00013,0.126,0.605,111.735,169547,4
87,AJJ,Hate Song for Brains,6WWw88Mk3GFQbtspaY6ddH,26,2012,acoustic,0.533,0.523,2,-5.645,1,0.0284,0.324,8.41e-05,0.116,0.492,145.113,143613,4
88,Boyce Avenue,Will You Be There,3D2A4RVGIEzqzhXGgzocuU,35,2012,acoustic,0.431,0.383,0,-8.092,1,0.0283,0.709,0.0,0.109,0.232,82.471,207629,4
89,Boyce Avenue,A Thousand Miles,4vNGuGIIzh6soeBTw8hjfq,41,2012,acoustic,0.564,0.731,9,-7.538,1,0.0295,0.517,3.48e-06,0.105,0.257,95.036,244174,4
90,Boyce Avenue,With or Without You,6sT9s9sILm7LkgVzyjwcEP,38,2012,acoustic,0.483,0.285,5,-8.994,1,0.0271,0.791,0.0,0.13,0.116,105.42,243187,4
91,Boyce Avenue,Breakeven (Falling to Pieces),5A0Bjgk5tQM3hRWxPpafmd,35,2012,acoustic,0.604,0.324,7,-9.706,1,0.0306,0.598,0.0,0.136,0.407,92.636,255242,4
92,Jaymay,Niagara Falls,4lomrPZgyfrilub7E92rdj,28,2012,acoustic,0.485,0.208,6,-10.049,1,0.0295,0.809,0.000147,0.138,0.136,92.942,119493,4
93,Boyce Avenue,Wherever You Will Go,6qrmX6Kzw4Yhrftev3RENE,39,2012,acoustic,0.669,0.31,2,-7.844,1,0.0273,0.619,0.0,0.108,0.199,112.075,204888,4
94,Boyce Avenue,Payphone,1jfvBRXzBY2eCzF75i67qw,41,2012,acoustic,0.65,0.655,7,-5.358,1,0.0309,0.213,0.0,0.134,0.546,109.931,218124,4
95,Jason Mraz,I Won't Give Up - Demo,6RLkxQmjmbB6ItZBOwSK73,28,2012,acoustic,0.467,0.234,4,-10.538,1,0.0362,0.821,2.15e-06,0.105,0.126,142.718,315983,3
96,Johnnyswim,Adelina,1KUgTKdoh0DKIbIIedAscB,24,2012,acoustic,0.528,0.443,5,-6.884,1,0.0267,0.738,0.0,0.182,0.302,82.924,218195,4
97,Drew Holcomb & The Neighbors,"Don't Think Twice, It's Alright",6wGoWEBRj1cQTafm7sg4ZM,28,2012,acoustic,0.535,0.587,4,-8.174,1,0.0308,0.396,0.00119,0.121,0.6,78.162,279221,4
98,Mark Lanegan,St Louis Elegy,1r3aX7XuYrtPcJ1tqpmA01,35,2012,acoustic,0.46,0.405,9,-9.627,1,0.0257,0.387,0.0346,0.119,0.161,155.528,273840,4
99,Boyce Avenue,We Found Love,1mzqQq3PJyTEbI1yN4uGmD,39,2012,acoustic,0.65,0.561,11,-8.6,1,0.0282,0.579,3.22e-06,0.0909,0.331,127.926,217376,4
100,Jason Mraz,5/6,4Cd1nnR2RKdbFN2eTaxAFR,26,2012,acoustic,0.468,0.614,5,-8.272,1,0.0404,0.161,1.9e-06,0.337,0.71,155.574,357213,3
